horizon	split	method	metric	value
1	train	torch_tail	observed_count	570552
1	train	torch_tail	mae	38.53566138
1	train	torch_tail	rmse	123.2723688
1	train	torch_tail	r2	0.982558648
1	train	torch_tail	auc	0.998936527
1	train	torch_tail	f1	0.796966341
1	train	torch_tail	precision	0.664337299
1	train	torch_tail	recall	0.995761227
1	train	torch_tail	interval_coverage	0.916987409
1	train	torch_tail	interval_width	304.8106935
1	train	torch_tail	pinball_q0.1	12.08958259
1	train	torch_tail	pinball_q0.5	19.26783069
1	train	torch_tail	pinball_q0.9	11.37367128
1	train	torch_tail	pinball_q0.95	7.608996196
1	train	torch_tail	pinball_q0.99	2.773521545
1	train	torch_tail	tail_count	28546
1	train	torch_tail	tail_mae	156.8539108
1	train	torch_tail	tail_rmse	370.5535261
1	train	torch_tail	tail_r2	0.876659074
1	train	naive_last_conductance	observed_count	565316
1	train	naive_last_conductance	mae	29.73570829
1	train	naive_last_conductance	rmse	105.7207987
1	train	naive_last_conductance	r2	0.987148126
1	train	naive_last_conductance	auc	0.998920845
1	train	naive_last_conductance	f1	0.957343632
1	train	naive_last_conductance	precision	0.956989247
1	train	naive_last_conductance	recall	0.957698278
1	train	naive_last_conductance	interval_coverage	nan
1	train	naive_last_conductance	interval_width	nan
1	train	naive_last_conductance	pinball_q0.1	nan
1	train	naive_last_conductance	pinball_q0.5	nan
1	train	naive_last_conductance	pinball_q0.9	nan
1	train	naive_last_conductance	pinball_q0.95	nan
1	train	naive_last_conductance	pinball_q0.99	nan
1	train	naive_last_conductance	tail_count	28344
1	train	naive_last_conductance	tail_mae	131.3013689
1	train	naive_last_conductance	tail_rmse	312.1713933
1	train	naive_last_conductance	tail_r2	0.910479498
1	valid	torch_tail	observed_count	97246
1	valid	torch_tail	mae	39.3066625
1	valid	torch_tail	rmse	115.976586
1	valid	torch_tail	r2	0.98132231
1	valid	torch_tail	auc	0.99965638
1	valid	torch_tail	f1	0.830645161
1	valid	torch_tail	precision	0.713543471
1	valid	torch_tail	recall	0.993728895
1	valid	torch_tail	interval_coverage	0.739732225
1	valid	torch_tail	interval_width	231.8552075
1	valid	torch_tail	pinball_q0.1	12.68860677
1	valid	torch_tail	pinball_q0.5	19.65333125
1	valid	torch_tail	pinball_q0.9	9.061418564
1	valid	torch_tail	pinball_q0.95	5.820870634
1	valid	torch_tail	pinball_q0.99	2.120162469
1	valid	torch_tail	tail_count	2073
1	valid	torch_tail	tail_mae	242.4859049
1	valid	torch_tail	tail_rmse	544.9814335
1	valid	torch_tail	tail_r2	0.931607322
1	valid	naive_last_conductance	observed_count	96538
1	valid	naive_last_conductance	mae	20.3054324
1	valid	naive_last_conductance	rmse	79.73486575
1	valid	naive_last_conductance	r2	0.991096108
1	valid	naive_last_conductance	auc	0.999735822
1	valid	naive_last_conductance	f1	0.95669195
1	valid	naive_last_conductance	precision	0.956457926
1	valid	naive_last_conductance	recall	0.956926089
1	valid	naive_last_conductance	interval_coverage	nan
1	valid	naive_last_conductance	interval_width	nan
1	valid	naive_last_conductance	pinball_q0.1	nan
1	valid	naive_last_conductance	pinball_q0.5	nan
1	valid	naive_last_conductance	pinball_q0.9	nan
1	valid	naive_last_conductance	pinball_q0.95	nan
1	valid	naive_last_conductance	pinball_q0.99	nan
1	valid	naive_last_conductance	tail_count	2043
1	valid	naive_last_conductance	tail_mae	191.8339044
1	valid	naive_last_conductance	tail_rmse	394.4823701
1	valid	naive_last_conductance	tail_r2	0.963868249
1	test	torch_tail	observed_count	179382
1	test	torch_tail	mae	44.31551226
